"benchmark","logging_algorithm","database","VFS","phase","scale_factor","value","unit","test-specific-info","threads","bloom_filter"
______________________________________________________
			New test run
______________________________________________________
"SSB","SQLite","msc-dense","PMem","evaluation","1","4.22757","s","q2.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","4.12309","s","q2.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","3.97391","s","q2.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.99551","s","q3.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.40802","s","q3.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.40225","s","q3.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.39505","s","q3.4","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","2.05543","s","q4.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.32469","s","q4.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.25232","s","q4.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.538909","s","q1.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.449102","s","q1.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.407088","s","q1.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","4.19507","s","q2.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","4.10061","s","q2.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","3.95499","s","q2.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.95727","s","q3.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.36378","s","q3.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.37095","s","q3.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.37509","s","q3.4","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","2.02032","s","q4.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.32346","s","q4.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.25029","s","q4.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.554788","s","q1.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.361572","s","q1.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.351433","s","q1.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.429082","s","q2.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.369756","s","q2.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.323317","s","q2.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.836726","s","q3.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.31968","s","q3.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.294092","s","q3.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.29112","s","q3.4","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.60993","s","q4.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.577982","s","q4.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.470043","s","q4.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.554122","s","q1.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.361138","s","q1.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.351281","s","q1.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.427148","s","q2.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.348334","s","q2.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.320497","s","q2.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.83282","s","q3.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.322451","s","q3.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.293829","s","q3.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.300709","s","q3.4","1","1"
